,HCP_ID,prescription_sales_ticaprant,prescription_sales_competitor,mNSCLC_patient_count,egfr_patient_count,ticaprant_patient_count,competitor_patient_count,feature_1L_patient_count,feature_2L_patient_count,feature_days_in_1L_avg,feature_days_in_2L_avg
0,HCP_01,0.0,410.0,3.0,3.0,0.0,3.0,3.0,3.0,56.0,453.6666666666667
1,HCP_02,40.0,60.0,2.0,2.0,1.0,1.0,2.0,2.0,56.0,405.0
2,HCP_05,110.0,80.0,4.0,3.0,2.0,2.0,4.0,4.0,56.0,396.0
3,HCP_06,100.0,140.0,4.0,3.0,3.0,3.0,4.0,4.0,56.0,406.0
4,HCP_09,180.0,180.0,5.0,4.0,4.0,4.0,5.0,5.0,56.0,418.2
5,HCP_11,80.0,150.0,4.0,4.0,3.0,3.0,4.0,4.0,56.0,410.75
6,HCP_16,0.0,560.0,5.0,5.0,0.0,5.0,5.0,5.0,56.0,456.8
7,HCP_17,290.0,220.0,6.0,5.0,5.0,5.0,6.0,6.0,56.0,409.8333333333333
8,HCP_20,70.0,30.0,3.0,2.0,1.0,1.0,3.0,3.0,56.0,411.0
9,HCP_21,0.0,430.0,4.0,4.0,0.0,4.0,4.0,4.0,56.0,429.25
10,HCP_22,80.0,120.0,3.0,3.0,2.0,2.0,3.0,3.0,56.0,375.3333333333333
11,HCP_25,70.0,40.0,3.0,2.0,1.0,1.0,3.0,3.0,56.0,394.3333333333333
12,HCP_26,0.0,710.0,6.0,6.0,0.0,6.0,6.0,6.0,56.0,439.8333333333333
13,HCP_27,0.0,240.0,2.0,2.0,0.0,2.0,2.0,2.0,56.0,441.0
14,HCP_28,30.0,110.0,2.0,2.0,2.0,2.0,2.0,2.0,56.0,385.0
15,HCP_29,120.0,70.0,2.0,2.0,2.0,2.0,2.0,2.0,56.0,420.0
16,HCP_32,0.0,200.0,2.0,2.0,0.0,2.0,2.0,2.0,56.0,461.5
17,HCP_33,60.0,130.0,2.0,2.0,2.0,2.0,2.0,2.0,56.0,415.0
18,HCP_34,120.0,70.0,8.0,3.0,4.0,7.0,6.0,6.0,60.833333333333336,217.0
19,HCP_35,180.0,450.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,HCP_36,150.0,390.0,3.0,2.0,1.0,3.0,2.0,1.0,39.5,216.0
21,HCP_37,180.0,430.0,7.0,3.0,4.0,6.0,6.0,6.0,10.833333333333334,92.83333333333333
22,HCP_38,160.0,540.0,1.0,1.0,0.0,0.0,1.0,0.0,111.0,0.0
23,HCP_39,150.0,410.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,186.0
24,HCP_40,180.0,420.0,5.0,2.0,2.0,2.0,5.0,4.0,6.4,31.25
25,HCP_41,140.0,470.0,6.0,2.0,0.0,6.0,4.0,3.0,50.5,23.666666666666668
26,HCP_42,130.0,300.0,3.0,2.0,1.0,2.0,3.0,3.0,50.666666666666664,33.333333333333336
27,HCP_43,100.0,370.0,2.0,1.0,1.0,2.0,2.0,2.0,26.0,216.0
28,HCP_44,90.0,360.0,7.0,4.0,0.0,5.0,4.0,4.0,10.25,64.0
29,HCP_45,90.0,290.0,2.0,1.0,0.0,2.0,1.0,0.0,15.0,0.0
30,HCP_46,140.0,310.0,4.0,1.0,2.0,4.0,4.0,4.0,55.0,67.0
31,HCP_47,130.0,350.0,4.0,1.0,2.0,3.0,3.0,2.0,15.333333333333334,151.0
32,HCP_48,90.0,350.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,70.0
33,HCP_49,80.0,360.0,3.0,3.0,2.0,3.0,2.0,2.0,40.5,121.0
34,HCP_50,90.0,260.0,5.0,5.0,3.0,4.0,4.0,4.0,54.25,129.25
35,HCP_51,150.0,330.0,3.0,2.0,0.0,3.0,2.0,2.0,69.0,54.5
36,HCP_52,120.0,350.0,5.0,1.0,3.0,5.0,5.0,4.0,49.2,115.25
37,HCP_53,70.0,420.0,5.0,2.0,3.0,3.0,2.0,1.0,81.0,50.0
38,HCP_54,130.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,HCP_03,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,56.0,385.5
40,HCP_08,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,56.0,424.5
41,HCP_10,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,56.0,452.3333333333333
42,HCP_13,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,56.0,383.4
43,HCP_18,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,56.0,357.3333333333333
44,HCP_19,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,56.0,435.5
45,HCP_23,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,56.0,378.6
46,HCP_24,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,56.0,402.8
47,HCP_30,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,56.0,365.0
48,HCP_31,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,56.0,424.5
49,HCP_55,0.0,0.0,4.0,1.0,0.0,4.0,3.0,2.0,17.0,124.5
50,HCP_56,0.0,0.0,4.0,0.0,3.0,3.0,4.0,4.0,4.75,110.75
51,HCP_57,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,156.0
52,HCP_58,0.0,0.0,6.0,3.0,2.0,5.0,5.0,5.0,37.4,67.8
53,HCP_59,0.0,0.0,8.0,2.0,3.0,6.0,8.0,7.0,43.625,96.85714285714286
54,HCP_60,0.0,0.0,5.0,2.0,3.0,4.0,3.0,3.0,10.333333333333334,29.333333333333332
55,HCP_61,0.0,0.0,7.0,3.0,4.0,6.0,6.0,3.0,64.5,193.33333333333334
56,HCP_62,0.0,0.0,7.0,3.0,4.0,7.0,7.0,5.0,87.0,129.0
57,HCP_63,0.0,0.0,5.0,1.0,3.0,5.0,4.0,3.0,9.75,83.33333333333333
58,HCP_64,0.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,94.33333333333333
59,HCP_65,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,13.0,105.0
60,HCP_66,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
61,HCP_67,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,71.0,42.0
62,HCP_68,0.0,0.0,4.0,2.0,3.0,4.0,4.0,4.0,12.75,70.5
63,HCP_69,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,6.5,60.5
64,HCP_70,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,37.0,49.5
65,HCP_71,0.0,0.0,5.0,3.0,1.0,4.0,5.0,4.0,73.6,37.25
66,HCP_72,0.0,0.0,6.0,3.0,3.0,5.0,4.0,4.0,41.5,43.25
67,HCP_73,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,180.0
68,HCP_74,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,116.0
69,HCP_75,0.0,0.0,4.0,0.0,1.0,3.0,3.0,3.0,31.333333333333332,106.0
70,HCP_76,0.0,0.0,5.0,2.0,4.0,4.0,4.0,4.0,37.25,168.75
71,HCP_77,0.0,0.0,4.0,2.0,1.0,3.0,4.0,2.0,63.75,150.5
72,HCP_78,0.0,0.0,7.0,2.0,4.0,6.0,7.0,7.0,33.57142857142857,100.85714285714286
73,HCP_79,0.0,0.0,8.0,4.0,3.0,7.0,7.0,5.0,52.714285714285715,123.8
74,HCP_80,0.0,0.0,6.0,3.0,2.0,4.0,4.0,4.0,48.5,130.75
75,HCP_81,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,9.5,116.25
76,HCP_82,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,18.0,133.0
77,HCP_83,0.0,0.0,4.0,2.0,1.0,2.0,3.0,3.0,25.0,131.0
78,HCP_84,0.0,0.0,6.0,3.0,1.0,4.0,4.0,4.0,39.25,41.5
79,HCP_85,0.0,0.0,5.0,1.0,4.0,5.0,5.0,4.0,2.2,99.25
80,HCP_86,0.0,0.0,6.0,3.0,6.0,5.0,6.0,5.0,50.5,167.2
81,HCP_87,0.0,0.0,11.0,6.0,3.0,11.0,9.0,7.0,34.22222222222222,87.0
82,HCP_88,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,69.5,135.0
83,HCP_89,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,47.0,0.0
84,HCP_90,0.0,0.0,6.0,4.0,5.0,5.0,6.0,5.0,27.5,73.6
85,HCP_91,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,95.0,0.0
86,HCP_92,0.0,0.0,4.0,0.0,2.0,4.0,3.0,3.0,31.0,153.33333333333334
87,HCP_93,0.0,0.0,5.0,1.0,2.0,5.0,4.0,4.0,12.25,119.0
