HCP_ID,NSCLC HCP,mNSCLC HCP,mNSCLC_egfr HCP,mNSCLC_egfr_MKT HCP,mNSCLC_egfr_Ticaprant HCP
HCP_17,1,1,1,1,1
HCP_01,1,1,1,1,0
HCP_28,1,1,1,1,1
HCP_16,1,1,1,1,0
HCP_21,1,1,1,1,0
HCP_09,1,1,1,1,1
HCP_33,1,1,1,1,1
HCP_29,1,1,1,1,1
HCP_34,1,1,1,1,1
HCP_02,1,1,1,1,1
HCP_06,1,1,1,1,1
HCP_05,1,1,1,1,1
HCP_11,1,1,1,1,1
HCP_22,1,1,1,1,1
HCP_20,1,1,1,1,1
HCP_25,1,1,1,1,1
HCP_10,1,1,1,0,0
HCP_19,1,1,1,0,0
HCP_24,1,1,1,0,0
HCP_03,1,1,0,0,0
HCP_30,1,1,0,0,0
HCP_18,1,1,0,0,0
HCP_31,1,1,0,0,0
HCP_13,1,1,0,0,0
HCP_23,1,1,0,0,0
HCP_08,1,1,0,0,0
HCP_07,1,0,0,0,0
HCP_04,1,0,0,0,0
HCP_15,1,0,0,0,0
HCP_12,1,0,0,0,0
HCP_26,1,1,1,1,0
HCP_27,1,1,1,1,0
HCP_32,1,1,1,1,0
HCP_62,1,1,1,1,1
HCP_39,1,1,1,1,1
HCP_58,1,1,1,1,1
HCP_64,1,1,1,1,1
HCP_55,1,1,1,1,0
HCP_35,1,1,0,0,0
HCP_78,1,1,1,1,1
HCP_38,1,1,1,0,0
HCP_93,1,1,1,1,1
HCP_60,1,1,1,1,1
HCP_41,1,1,1,1,0
HCP_88,1,1,0,0,0
HCP_53,1,1,1,1,1
HCP_77,1,1,1,1,0
HCP_56,1,1,0,0,0
HCP_65,1,1,1,1,1
HCP_44,1,1,1,1,0
HCP_72,1,1,1,1,1
HCP_80,1,1,1,1,0
HCP_87,1,1,1,1,1
HCP_57,1,1,1,1,0
HCP_59,1,1,1,1,1
HCP_49,1,1,1,1,1
HCP_68,1,1,1,1,1
HCP_79,1,1,1,1,1
HCP_36,1,1,1,1,1
HCP_91,1,1,1,1,1
HCP_86,1,1,1,1,1
HCP_50,1,1,1,1,1
HCP_81,1,1,1,1,0
HCP_84,1,1,1,1,1
HCP_66,1,1,1,1,1
HCP_45,1,1,1,1,0
HCP_42,1,1,1,1,0
HCP_37,1,1,1,1,1
HCP_52,1,1,1,1,1
HCP_71,1,1,1,1,0
HCP_76,1,1,1,1,1
HCP_46,1,1,1,1,0
HCP_90,1,1,1,1,1
HCP_61,1,1,1,1,1
HCP_85,1,1,1,1,0
HCP_75,1,1,0,0,0
HCP_89,1,1,1,0,0
HCP_48,1,1,1,1,1
HCP_47,1,1,1,0,0
HCP_67,1,1,0,0,0
HCP_82,1,1,1,1,1
HCP_73,1,1,0,0,0
HCP_92,1,1,0,0,0
HCP_40,1,1,1,1,1
HCP_70,1,1,1,1,0
HCP_74,1,1,1,1,0
HCP_83,1,1,1,1,0
HCP_69,1,1,1,1,0
HCP_63,1,1,1,1,0
HCP_51,1,1,1,1,0
HCP_43,1,1,1,1,0
