HCP_ID,prescription_sales_ticaprant,prescription_sales_competitor,mNSCLC_patient_count,egfr_patient_count,ticaprant_patient_count,competitor_patient_count
HCP_01,0.0,410.0,3.0,3.0,,3.0
HCP_02,40.0,60.0,2.0,2.0,1.0,1.0
HCP_05,110.0,80.0,4.0,3.0,2.0,2.0
HCP_06,100.0,140.0,4.0,3.0,3.0,3.0
HCP_09,180.0,180.0,5.0,4.0,4.0,4.0
HCP_11,80.0,150.0,4.0,4.0,3.0,3.0
HCP_16,0.0,560.0,5.0,5.0,,5.0
HCP_17,290.0,220.0,6.0,5.0,5.0,5.0
HCP_20,70.0,30.0,3.0,2.0,1.0,1.0
HCP_21,0.0,430.0,4.0,4.0,,4.0
HCP_22,80.0,120.0,3.0,3.0,2.0,2.0
HCP_25,70.0,40.0,3.0,2.0,1.0,1.0
HCP_26,0.0,710.0,6.0,6.0,,6.0
HCP_27,0.0,240.0,2.0,2.0,,2.0
HCP_28,30.0,110.0,2.0,2.0,2.0,2.0
HCP_29,120.0,70.0,2.0,2.0,2.0,2.0
HCP_32,0.0,200.0,2.0,2.0,,2.0
HCP_33,60.0,130.0,2.0,2.0,2.0,2.0
HCP_34,120.0,70.0,8.0,3.0,4.0,7.0
HCP_35,180.0,450.0,1.0,,1.0,1.0
HCP_36,150.0,390.0,3.0,2.0,1.0,3.0
HCP_37,180.0,430.0,7.0,3.0,4.0,6.0
HCP_38,160.0,540.0,1.0,1.0,,
HCP_39,150.0,410.0,2.0,1.0,2.0,2.0
HCP_40,180.0,420.0,5.0,2.0,2.0,2.0
HCP_41,140.0,470.0,6.0,2.0,,6.0
HCP_42,130.0,300.0,3.0,2.0,1.0,2.0
HCP_43,100.0,370.0,2.0,1.0,1.0,2.0
HCP_44,90.0,360.0,7.0,4.0,,5.0
HCP_45,90.0,290.0,2.0,1.0,,2.0
HCP_46,140.0,310.0,4.0,1.0,2.0,4.0
HCP_47,130.0,350.0,4.0,1.0,2.0,3.0
HCP_48,90.0,350.0,2.0,2.0,1.0,1.0
HCP_49,80.0,360.0,3.0,3.0,2.0,3.0
HCP_50,90.0,260.0,5.0,5.0,3.0,4.0
HCP_51,150.0,330.0,3.0,2.0,,3.0
HCP_52,120.0,350.0,5.0,1.0,3.0,5.0
HCP_53,70.0,420.0,5.0,2.0,3.0,3.0
HCP_54,130.0,310.0,,,,
HCP_03,,,4.0,,,
HCP_08,,,2.0,,,
HCP_10,,,3.0,3.0,,
HCP_13,,,5.0,,,
HCP_18,,,3.0,,,
HCP_19,,,4.0,4.0,,
HCP_23,,,5.0,,,
HCP_24,,,5.0,5.0,,
HCP_30,,,2.0,,,
HCP_31,,,2.0,,,
HCP_55,,,4.0,1.0,,4.0
HCP_56,,,4.0,,3.0,3.0
HCP_57,,,3.0,1.0,1.0,2.0
HCP_58,,,6.0,3.0,2.0,5.0
HCP_59,,,8.0,2.0,3.0,6.0
HCP_60,,,5.0,2.0,3.0,4.0
HCP_61,,,7.0,3.0,4.0,6.0
HCP_62,,,7.0,3.0,4.0,7.0
HCP_63,,,5.0,1.0,3.0,5.0
HCP_64,,,3.0,1.0,2.0,3.0
HCP_65,,,3.0,1.0,2.0,2.0
HCP_66,,,2.0,2.0,1.0,1.0
HCP_67,,,2.0,,1.0,2.0
HCP_68,,,4.0,2.0,3.0,4.0
HCP_69,,,2.0,1.0,1.0,2.0
HCP_70,,,2.0,1.0,,2.0
HCP_71,,,5.0,3.0,1.0,4.0
HCP_72,,,6.0,3.0,3.0,5.0
HCP_73,,,1.0,,1.0,1.0
HCP_74,,,2.0,2.0,,2.0
HCP_75,,,4.0,,1.0,3.0
HCP_76,,,5.0,2.0,4.0,4.0
HCP_77,,,4.0,2.0,1.0,3.0
HCP_78,,,7.0,2.0,4.0,6.0
HCP_79,,,8.0,4.0,3.0,7.0
HCP_80,,,6.0,3.0,2.0,4.0
HCP_81,,,4.0,4.0,,4.0
HCP_82,,,2.0,2.0,1.0,
HCP_83,,,4.0,2.0,1.0,2.0
HCP_84,,,6.0,3.0,1.0,4.0
HCP_85,,,5.0,1.0,4.0,5.0
HCP_86,,,6.0,3.0,6.0,5.0
HCP_87,,,11.0,6.0,3.0,11.0
HCP_88,,,2.0,,,2.0
HCP_89,,,1.0,1.0,,
HCP_90,,,6.0,4.0,5.0,5.0
HCP_91,,,2.0,1.0,1.0,2.0
HCP_92,,,4.0,,2.0,4.0
HCP_93,,,5.0,1.0,2.0,5.0
