HCP_ID,feature_1L_patient_count,feature_2L_patient_count,feature_days_in_1L_avg,feature_days_in_2L_avg
HCP_01,3,3,56.0,453.6666666666667
HCP_02,2,2,56.0,405.0
HCP_03,4,4,56.0,385.5
HCP_05,4,4,56.0,396.0
HCP_06,4,4,56.0,406.0
HCP_08,2,2,56.0,424.5
HCP_09,5,5,56.0,418.2
HCP_10,3,3,56.0,452.3333333333333
HCP_11,4,4,56.0,410.75
HCP_13,5,5,56.0,383.4
HCP_16,5,5,56.0,456.8
HCP_17,6,6,56.0,409.8333333333333
HCP_18,3,3,56.0,357.3333333333333
HCP_19,4,4,56.0,435.5
HCP_20,3,3,56.0,411.0
HCP_21,4,4,56.0,429.25
HCP_22,3,3,56.0,375.3333333333333
HCP_23,5,5,56.0,378.6
HCP_24,5,5,56.0,402.8
HCP_25,3,3,56.0,394.3333333333333
HCP_26,6,6,56.0,439.8333333333333
HCP_27,2,2,56.0,441.0
HCP_28,2,2,56.0,385.0
HCP_29,2,2,56.0,420.0
HCP_30,2,2,56.0,365.0
HCP_31,2,2,56.0,424.5
HCP_32,2,2,56.0,461.5
HCP_33,2,2,56.0,415.0
HCP_34,6,6,60.833333333333336,217.0
HCP_36,2,1,39.5,216.0
HCP_37,6,6,10.833333333333334,92.83333333333333
HCP_38,1,0,111.0,
HCP_39,2,2,11.0,186.0
HCP_40,5,4,6.4,31.25
HCP_41,4,3,50.5,23.666666666666668
HCP_42,3,3,50.666666666666664,33.333333333333336
HCP_43,2,2,26.0,216.0
HCP_44,4,4,10.25,64.0
HCP_45,1,0,15.0,
HCP_46,4,4,55.0,67.0
HCP_47,3,2,15.333333333333334,151.0
HCP_48,2,2,0.0,70.0
HCP_49,2,2,40.5,121.0
HCP_50,4,4,54.25,129.25
HCP_51,2,2,69.0,54.5
HCP_52,5,4,49.2,115.25
HCP_53,2,1,81.0,50.0
HCP_55,3,2,17.0,124.5
HCP_56,4,4,4.75,110.75
HCP_57,1,1,0.0,156.0
HCP_58,5,5,37.4,67.8
HCP_59,8,7,43.625,96.85714285714286
HCP_60,3,3,10.333333333333334,29.333333333333332
HCP_61,6,3,64.5,193.33333333333334
HCP_62,7,5,87.0,129.0
HCP_63,4,3,9.75,83.33333333333333
HCP_64,3,3,3.0,94.33333333333333
HCP_65,2,2,13.0,105.0
HCP_66,1,1,0.0,0.0
HCP_67,2,2,71.0,42.0
HCP_68,4,4,12.75,70.5
HCP_69,2,2,6.5,60.5
HCP_70,2,2,37.0,49.5
HCP_71,5,4,73.6,37.25
HCP_72,4,4,41.5,43.25
HCP_73,1,1,10.0,180.0
HCP_74,2,2,0.0,116.0
HCP_75,3,3,31.333333333333332,106.0
HCP_76,4,4,37.25,168.75
HCP_77,4,2,63.75,150.5
HCP_78,7,7,33.57142857142857,100.85714285714286
HCP_79,7,5,52.714285714285715,123.8
HCP_80,4,4,48.5,130.75
HCP_81,4,4,9.5,116.25
HCP_82,2,2,18.0,133.0
HCP_83,3,3,25.0,131.0
HCP_84,4,4,39.25,41.5
HCP_85,5,4,2.2,99.25
HCP_86,6,5,50.5,167.2
HCP_87,9,7,34.22222222222222,87.0
HCP_88,2,1,69.5,135.0
HCP_89,1,0,47.0,
HCP_90,6,5,27.5,73.6
HCP_91,2,1,95.0,0.0
HCP_92,3,3,31.0,153.33333333333334
HCP_93,4,4,12.25,119.0
