HCP_ID,yearmonth,HCPCS_ code,TRx
HCP_35,202310,J1001,20
HCP_36,202305,J1001,40
HCP_37,202308,J1001,60
HCP_38,202302,J1001,40
HCP_39,202309,J1001,50
HCP_40,202311,J1001,60
HCP_41,202310,J1001,10
HCP_42,202311,J1001,10
HCP_43,202306,J1001,50
HCP_44,202306,J1001,20
HCP_45,202303,J1001,60
HCP_46,202312,J1001,60
HCP_47,202309,J1001,60
HCP_48,202307,J1001,10
HCP_49,202303,J1001,50
HCP_50,202309,J1001,30
HCP_51,202306,J1001,50
HCP_52,202302,J1001,60
HCP_53,202302,J1001,20
HCP_54,202301,J1001,40
HCP_35,202310,J1001,60
HCP_36,202310,J1001,20
HCP_37,202303,J1001,50
HCP_38,202309,J1001,40
HCP_39,202309,J1001,40
HCP_40,202303,J1001,60
HCP_41,202303,J1001,40
HCP_42,202309,J1001,60
HCP_43,202312,J1001,20
HCP_44,202302,J1001,10
HCP_45,202305,J1001,10
HCP_46,202312,J1001,20
HCP_47,202305,J1001,60
HCP_48,202312,J1001,40
HCP_49,202301,J1001,10
HCP_50,202302,J1001,20
HCP_51,202312,J1001,50
HCP_52,202308,J1001,40
HCP_53,202309,J1001,40
HCP_54,202310,J1001,60
HCP_35,202304,J1001,40
HCP_36,202312,J1001,50
HCP_37,202306,J1001,30
HCP_38,202301,J1001,60
HCP_39,202306,J1001,40
HCP_40,202304,J1001,10
HCP_41,202312,J1001,50
HCP_42,202309,J1001,50
HCP_43,202307,J1001,20
HCP_44,202311,J1001,60
HCP_45,202303,J1001,20
HCP_46,202308,J1001,60
HCP_47,202310,J1001,10
HCP_48,202308,J1001,40
HCP_49,202312,J1001,20
HCP_50,202306,J1001,40
HCP_51,202303,J1001,50
HCP_52,202307,J1001,20
HCP_53,202304,J1001,10
HCP_54,202302,J1001,30
HCP_35,202311,J1001,60
HCP_36,202310,J1001,40
HCP_37,202306,J1001,40
HCP_38,202308,J1001,20
HCP_39,202303,J1001,20
HCP_40,202309,J1001,50
HCP_41,202302,J1001,40
HCP_42,202308,J1001,10
HCP_43,202308,J1001,10
HCP_35,202301,J1002,10
HCP_36,202312,J1002,10
HCP_37,202308,J1002,10
HCP_38,202304,J1002,60
HCP_39,202310,J1002,40
HCP_40,202303,J1002,20
HCP_41,202304,J1002,40
HCP_42,202302,J1002,10
HCP_43,202302,J1002,10
HCP_44,202308,J1002,40
HCP_45,202303,J1002,50
HCP_46,202309,J1002,50
HCP_47,202308,J1002,20
HCP_48,202310,J1002,40
HCP_49,202303,J1002,10
HCP_50,202303,J1002,20
HCP_51,202308,J1002,60
HCP_52,202301,J1002,30
HCP_53,202308,J1002,40
HCP_54,202312,J1002,50
HCP_35,202309,J1002,20
HCP_36,202303,J1002,40
HCP_37,202310,J1002,50
HCP_38,202306,J1002,60
HCP_39,202305,J1002,50
HCP_40,202308,J1002,10
HCP_41,202310,J1002,60
HCP_42,202311,J1002,10
HCP_43,202302,J1002,40
HCP_44,202303,J1002,30
HCP_45,202304,J1002,40
HCP_46,202302,J1002,30
HCP_47,202310,J1002,50
HCP_48,202306,J1002,20
HCP_49,202304,J1002,40
HCP_50,202307,J1002,20
HCP_51,202305,J1002,20
HCP_52,202311,J1002,10
HCP_53,202306,J1002,50
HCP_54,202308,J1002,10
HCP_35,202301,J1002,10
HCP_36,202303,J1002,40
HCP_37,202303,J1002,50
HCP_38,202305,J1002,50
HCP_39,202302,J1002,50
HCP_40,202312,J1002,60
HCP_41,202306,J1002,20
HCP_42,202312,J1002,10
HCP_43,202306,J1002,40
HCP_44,202306,J1002,60
HCP_45,202307,J1002,20
HCP_46,202309,J1002,20
HCP_47,202311,J1002,40
HCP_48,202301,J1002,40
HCP_49,202302,J1002,50
HCP_50,202312,J1002,40
HCP_51,202310,J1002,30
HCP_52,202310,J1002,40
HCP_53,202302,J1002,60
HCP_54,202311,J1002,10
HCP_35,202301,J1002,20
HCP_36,202309,J1002,20
HCP_37,202311,J1002,30
HCP_38,202307,J1002,40
HCP_39,202307,J1002,40
HCP_40,202306,J1002,60
HCP_41,202304,J1002,30
HCP_42,202305,J1002,20
HCP_43,202310,J1002,30
HCP_44,202308,J1002,10
HCP_45,202311,J1002,60
HCP_46,202309,J1002,20
HCP_47,202310,J1002,20
HCP_48,202309,J1002,20
HCP_49,202311,J1002,60
HCP_50,202306,J1002,20
HCP_51,202307,J1002,30
HCP_52,202309,J1002,60
HCP_53,202301,J1002,40
HCP_54,202310,J1002,40
